  CHEF         WAITER      ST1        ST2        ST3        ST4        ST5        ST6        ST7
  CTS          ATS         CWC        CWC        CWC        SGH        CWC        CWC        SGH
  CTS          ATS         CWC        CWC        CWC        SGH        SGH        CWC        SGH
  CTS          ATS         CWC        CWC        CWC        SGH        SGH        CWC        SGH
  CTS          ATS         CWC        CWC        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         CWC        CWC        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        CWC        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        CWC        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        SGH        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        SGH        CWC        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        SGH        SGH        SGH        SGH        SGH        SGH
  CTS          ATS         SGH        SGH        SGH        SGH        SGH        SGH        SGH
